Date,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j
2021-01-02 21:00:00,5.54,9.11,4.23,33.1,80.58,,22.42,18.8,,22.72
2021-01-02 22:00:00,5.01,9.12,3.84,35.54,72.94,,20.26,15.5,,22.18
2021-01-02 23:00:00,4.51,8.73,3.9,34.18,69.51,,18.68,15.02,,21.31
2021-01-03 00:00:00,4.15,8.16,3.31,31.63,63.92,,16.61,12.86,,20.6
2021-01-03 01:00:00,3.75,7.93,2.91,28.67,57.71,,13.83,12.58,,19.17
2021-01-03 02:00:00,3.69,7.75,2.8,23.01,55.47,,12.8,11.24,,19.79
2021-01-03 03:00:00,3.57,7.64,2.68,23.46,53.83,,12.34,10.95,,18.7
2021-01-03 04:00:00,3.59,7.6,2.58,22.14,53.97,,12.17,10.71,,19.12
2021-01-03 05:00:00,3.71,7.79,2.68,28.66,55.76,,12.26,11.07,,19.28
2021-01-03 06:00:00,4.26,7.77,2.94,30.05,58.07,,13.66,11.5,,20.56
2021-01-03 07:00:00,5.9,8.59,3.6,35.91,66.45,,16.48,13.73,,21.48
2021-01-03 08:00:00,5.49,10.03,4.59,41.01,82.35,,22.66,18.36,,23.97
2021-01-03 09:00:00,7.56,11.54,5.75,51.43,102.3,,30.36,23.86,,27.06
2021-01-03 10:00:00,8.14,11.78,6.33,47.45,109.06,,35.0,26.62,,26.91
2021-01-03 11:00:00,7.79,11.45,6.36,48.42,106.17,,33.13,25.22,,26.92
2021-01-03 12:00:00,6.88,11.76,6.08,48.71,103.93,,30.96,24.73,,27.24
2021-01-03 13:00:00,7.43,11.14,5.38,49.68,98.9,,28.52,23.56,,25.91
2021-01-03 14:00:00,7.09,9.94,5.37,44.38,91.47,,26.19,21.3,,24.63
2021-01-03 15:00:00,6.51,9.84,4.73,40.7,85.02,,24.76,20.11,,22.57
2021-01-03 16:00:00,5.91,9.52,4.61,38.91,82.99,,23.45,19.58,,23.07
2021-01-03 17:00:00,6.68,9.77,5.04,38.77,84.27,,23.77,19.34,,23.83
2021-01-03 18:00:00,6.8,9.97,4.98,39.23,86.69,,24.12,20.15,,23.04
2021-01-03 19:00:00,7.27,10.15,4.7,36.6,88.71,,25.07,19.3,,23.75
2021-01-03 20:00:00,7.33,10.16,4.91,42.1,89.56,,26.05,19.79,,24.42
2021-01-03 21:00:00,6.49,9.31,4.53,38.92,81.3,,23.26,17.47,,22.05
2021-01-03 22:00:00,6.04,9.29,3.78,35.04,74.51,,20.04,17.06,,22.25
2021-01-03 23:00:00,4.72,8.52,3.45,32.99,69.74,,18.97,14.62,,20.72
2021-01-04 00:00:00,3.96,7.99,3.39,27.12,62.71,,15.98,13.58,,20.11
2021-01-04 01:00:00,2.92,7.77,3.02,23.84,57.62,,13.32,11.31,,19.58
2021-01-04 02:00:00,3.18,7.7,2.82,24.42,55.04,,11.92,10.31,,18.36
2021-01-04 03:00:00,3.63,7.67,2.73,25.82,53.98,,11.94,10.67,,18.69
2021-01-04 04:00:00,3.17,7.66,2.79,28.54,54.54,,11.99,10.66,,19.73
2021-01-04 05:00:00,4.04,7.89,2.96,29.87,56.64,,12.89,11.43,,20.05
2021-01-04 06:00:00,5.3,8.77,3.6,34.36,65.96,,16.11,14.06,,22.6
2021-01-04 07:00:00,7.46,9.57,4.61,38.19,83.2,,22.01,19.87,,25.17
2021-01-04 08:00:00,10.2,10.21,4.92,42.35,96.01,,28.0,23.78,,27.4
2021-01-04 09:00:00,10.44,10.12,4.92,42.86,97.67,,29.3,25.32,,28.56
2021-01-04 10:00:00,11.23,10.35,5.17,39.65,94.78,,26.47,25.02,,28.01
2021-01-04 11:00:00,10.03,9.87,4.63,37.11,92.02,,24.69,24.13,,28.05
2021-01-04 12:00:00,8.53,9.85,4.87,42.39,89.48,,24.16,23.35,,29.13
2021-01-04 13:00:00,8.86,9.94,4.6,43.75,91.21,,25.88,24.02,,24.62
2021-01-04 14:00:00,8.46,9.58,4.86,38.77,87.67,,24.91,21.42,,27.73
2021-01-04 15:00:00,8.13,9.49,4.19,36.1,83.48,,22.68,19.32,,25.29
2021-01-04 16:00:00,6.14,9.23,4.2,34.81,80.79,,21.04,18.73,,26.17
2021-01-04 17:00:00,6.68,9.42,4.42,35.02,80.64,,22.16,19.87,,25.49
2021-01-04 18:00:00,5.8,9.39,4.61,38.79,83.89,,22.7,20.71,,24.81
2021-01-04 19:00:00,7.5,10.0,4.83,43.34,89.09,,25.19,20.93,,26.87
2021-01-04 20:00:00,7.43,9.93,4.7,43.88,90.59,,26.26,20.45,,24.86
2021-01-04 21:00:00,6.63,9.35,4.56,38.55,82.44,,22.68,17.74,,25.65
2021-01-04 22:00:00,5.98,8.77,3.88,37.55,74.42,,19.01,16.54,,22.19
2021-01-04 23:00:00,5.17,8.5,3.61,29.33,69.5,,17.69,14.26,,21.64
2021-01-05 00:00:00,4.58,8.07,3.25,27.2,62.75,,15.81,13.7,,20.76
2021-01-05 01:00:00,4.44,7.73,2.8,26.32,57.29,,13.24,11.67,,19.13
2021-01-05 02:00:00,10.44,7.74,2.63,27.94,55.29,,12.25,10.28,,18.99
2021-01-05 03:00:00,4.97,7.92,2.66,29.29,54.2,,12.26,10.51,,19.0
2021-01-05 04:00:00,4.22,7.83,2.64,30.64,54.05,,12.31,10.66,,19.98
2021-01-05 05:00:00,4.79,8.03,2.84,29.42,56.05,,12.83,10.93,,20.73
2021-01-05 06:00:00,5.67,8.54,3.34,33.42,64.62,,15.29,13.01,,21.85
2021-01-05 07:00:00,6.53,9.76,4.25,35.61,80.21,,21.15,18.11,,24.5
2021-01-05 08:00:00,9.29,10.3,4.89,38.0,92.57,,24.84,23.54,,27.97
2021-01-05 09:00:00,8.86,10.31,5.05,44.27,96.96,,27.52,23.67,,28.7
2021-01-05 10:00:00,,10.73,4.88,46.47,96.27,,28.13,25.45,,29.25
2021-01-05 11:00:00,8.18,10.75,4.98,47.5,93.23,,26.27,23.85,,30.02
2021-01-05 12:00:00,8.13,10.3,5.02,42.8,92.23,,25.23,24.4,,27.9
2021-01-05 13:00:00,8.27,9.73,4.73,44.41,91.29,,25.92,23.12,,26.0
2021-01-05 14:00:00,8.9,9.61,4.43,39.51,86.22,,25.34,21.44,,28.55
2021-01-05 15:00:00,8.72,9.72,4.41,35.17,81.82,,22.37,20.23,,25.67
2021-01-05 16:00:00,7.98,9.17,4.32,34.82,81.52,,21.86,20.53,,25.53
2021-01-05 17:00:00,7.17,9.63,4.51,40.79,80.82,,22.58,20.71,,24.5
2021-01-05 18:00:00,6.63,9.67,4.63,41.35,84.7,,22.56,20.58,,24.63
2021-01-05 19:00:00,7.36,10.09,4.66,42.26,88.7,,23.69,20.24,,25.27
2021-01-05 20:00:00,6.9,9.78,4.64,45.03,88.76,,26.41,20.08,,24.43
2021-01-05 21:00:00,5.85,9.21,4.25,37.09,81.82,,23.45,17.98,,25.65
2021-01-05 22:00:00,4.77,8.96,3.58,29.13,73.68,,19.09,15.86,,21.29
2021-01-05 23:00:00,3.91,8.38,3.72,29.35,70.32,,18.35,15.3,,20.94
2021-01-06 00:00:00,3.52,8.16,3.09,30.74,63.87,,15.55,12.91,,20.28
2021-01-06 01:00:00,2.76,7.8,2.83,29.05,57.43,,12.51,11.34,,18.71
2021-01-06 02:00:00,3.88,7.75,2.67,29.43,55.33,,11.11,10.51,,21.39
2021-01-06 03:00:00,4.78,7.74,2.6,29.51,54.31,,10.12,10.66,,19.79
2021-01-06 04:00:00,4.64,7.77,2.65,27.59,54.22,,,10.4,,18.41
2021-01-06 05:00:00,4.39,7.74,2.87,24.35,55.12,,10.28,10.71,,18.26
2021-01-06 06:00:00,4.89,7.93,2.93,25.45,58.29,,13.52,11.96,,20.84
2021-01-06 07:00:00,6.08,8.8,3.44,31.9,67.63,,16.3,13.7,,21.87
2021-01-06 08:00:00,8.55,9.83,4.61,40.32,85.12,,22.2,19.07,,23.61
2021-01-06 09:00:00,8.48,11.04,5.57,49.42,102.33,,28.76,24.43,,25.25
2021-01-06 10:00:00,7.95,11.39,6.05,49.61,106.99,,30.64,25.91,,24.94
2021-01-06 11:00:00,8.06,11.14,5.91,51.28,103.47,,31.29,24.46,,24.54
2021-01-06 12:00:00,6.73,10.56,5.55,47.16,99.71,,30.34,24.33,,25.2
2021-01-06 13:00:00,6.78,10.44,5.45,41.01,97.42,,27.88,22.51,,25.76
2021-01-06 14:00:00,6.14,9.9,4.93,40.63,91.11,,25.06,21.34,,23.14
2021-01-06 15:00:00,6.05,9.57,4.57,40.07,85.37,,22.37,19.87,,23.19
2021-01-06 16:00:00,5.91,9.2,4.47,39.41,82.77,,22.69,20.23,,22.52
2021-01-06 17:00:00,5.72,9.61,4.81,40.65,85.45,,24.59,20.5,,23.98
2021-01-06 18:00:00,6.23,9.75,4.82,,89.04,,26.43,21.98,,23.66
2021-01-06 19:00:00,6.77,10.29,4.78,40.77,89.76,,26.38,21.8,,24.52
2021-01-06 20:00:00,6.6,10.22,4.82,41.29,92.62,,26.48,21.33,,23.56
2021-01-06 21:00:00,5.5,9.5,4.44,36.92,82.56,,24.42,18.63,,22.7
2021-01-06 22:00:00,4.64,8.79,3.89,32.43,74.59,,20.05,17.79,,20.82
2021-01-06 23:00:00,4.13,8.86,3.56,31.8,69.66,,19.68,15.69,,22.35
2021-01-07 00:00:00,4.16,8.17,3.15,31.38,62.47,,15.57,13.21,,20.66
2021-01-07 01:00:00,4.01,7.82,2.76,29.62,56.74,,13.01,11.16,,19.85
2021-01-07 02:00:00,4.58,7.66,2.69,29.32,55.68,,12.07,11.0,,20.09
2021-01-07 03:00:00,4.12,7.86,2.66,28.66,54.21,,12.1,10.27,,20.43
2021-01-07 04:00:00,3.95,7.87,2.77,28.06,55.02,,11.65,10.74,,20.3
2021-01-07 05:00:00,3.12,8.25,3.07,29.07,57.05,,12.89,11.73,,21.04
2021-01-07 06:00:00,4.66,9.31,3.98,35.58,70.39,,18.03,15.41,,24.29
2021-01-07 07:00:00,7.47,10.57,4.83,40.1,93.64,,25.94,22.89,,28.25
2021-01-07 08:00:00,8.43,10.63,4.97,41.41,97.85,,27.44,24.77,,30.14
2021-01-07 09:00:00,8.47,10.54,4.89,44.02,96.79,,,26.23,,29.9
2021-01-07 10:00:00,7.58,9.99,4.55,41.3,91.02,,25.04,25.47,,29.19
2021-01-07 11:00:00,7.77,9.41,4.74,38.04,88.03,,23.02,23.96,,30.66
2021-01-07 12:00:00,8.72,9.26,4.42,42.14,86.59,,24.49,24.36,,30.54
2021-01-07 13:00:00,9.05,9.24,4.43,42.66,87.92,,24.38,24.71,,30.53
2021-01-07 14:00:00,9.69,9.39,4.47,39.9,84.96,,23.67,22.5,,30.18
2021-01-07 15:00:00,9.47,9.43,4.23,36.01,81.85,,21.84,20.79,,26.79
2021-01-07 16:00:00,7.69,9.77,3.87,36.12,78.08,,20.72,20.59,,27.52
2021-01-07 17:00:00,7.34,9.29,4.32,36.52,80.26,,19.94,20.71,,28.0
2021-01-07 18:00:00,6.09,9.56,4.6,39.5,85.17,,22.85,21.1,,25.92
2021-01-07 19:00:00,6.1,10.28,4.53,41.55,88.69,,25.18,22.2,,26.7
2021-01-07 20:00:00,6.46,9.79,5.12,44.16,92.5,,26.69,21.74,,27.0
2021-01-07 21:00:00,5.69,9.68,4.59,39.68,83.68,,22.83,19.65,,25.91
2021-01-07 22:00:00,4.13,8.66,3.72,35.72,74.72,,21.15,17.25,,24.54
2021-01-07 23:00:00,3.52,8.42,3.47,30.03,69.49,,17.71,14.38,,21.61
2021-01-08 00:00:00,3.16,8.07,3.26,28.02,62.18,,15.24,12.88,,20.97
2021-01-08 01:00:00,3.85,7.76,2.74,25.61,56.33,,12.26,11.04,,21.72
2021-01-08 02:00:00,4.07,7.61,2.64,26.96,54.75,,9.97,10.54,,20.57
2021-01-08 03:00:00,4.55,7.61,2.56,29.39,54.21,,8.53,10.53,,21.54
2021-01-08 04:00:00,4.3,7.67,2.6,29.28,54.81,,,10.81,,22.05
2021-01-08 05:00:00,4.29,7.89,2.92,30.59,56.47,,10.96,11.55,,22.36
2021-01-08 06:00:00,5.15,8.83,3.8,34.04,69.21,,17.78,15.09,,25.16
2021-01-08 07:00:00,7.55,10.04,4.95,40.11,94.54,,25.72,22.51,,28.29
2021-01-08 08:00:00,8.93,10.45,4.93,44.29,98.83,,28.09,26.03,,31.58
2021-01-08 09:00:00,9.9,10.03,5.04,45.33,96.51,,28.31,25.74,,31.58
2021-01-08 10:00:00,8.46,9.79,4.67,40.95,91.57,,25.27,25.89,,32.87
2021-01-08 11:00:00,7.63,9.49,4.49,43.56,89.99,,24.57,24.33,,30.8
2021-01-08 12:00:00,7.94,9.68,4.66,41.05,87.98,,24.13,24.76,,29.11
2021-01-08 13:00:00,8.61,9.64,4.59,41.89,88.19,,25.73,24.25,,30.61
2021-01-08 14:00:00,8.29,9.59,4.59,39.25,88.01,,24.12,24.48,,30.86
2021-01-08 15:00:00,8.05,9.52,4.33,36.62,84.16,,20.57,20.91,,29.88
2021-01-08 16:00:00,6.6,9.27,4.03,34.55,81.08,,21.75,21.35,,29.33
2021-01-08 17:00:00,7.64,9.19,4.3,39.77,80.36,,21.91,21.13,,28.15
2021-01-08 18:00:00,6.52,9.62,4.62,42.66,84.23,,23.97,21.76,,28.24
2021-01-08 19:00:00,7.5,9.92,4.6,42.62,88.14,,24.63,21.99,,27.59
2021-01-08 20:00:00,7.33,9.97,4.73,44.3,90.08,,26.01,20.42,,25.47
2021-01-08 21:00:00,6.31,9.45,4.44,37.98,82.34,,22.91,18.25,,24.68
2021-01-08 22:00:00,5.29,9.18,3.8,31.96,74.83,,19.21,17.05,,24.36
2021-01-08 23:00:00,4.49,8.34,3.45,28.91,70.01,,18.32,16.02,,21.92
2021-01-09 00:00:00,3.75,8.06,3.18,29.94,62.97,,15.59,13.77,,21.42
2021-01-09 01:00:00,3.55,7.78,2.83,29.42,57.83,,13.6,11.4,,20.4
2021-01-09 02:00:00,4.18,7.67,2.69,28.68,55.29,,12.59,10.2,,21.08
2021-01-09 03:00:00,3.17,7.71,2.65,27.7,54.56,,12.04,10.95,,20.72
2021-01-09 04:00:00,2.74,7.65,2.6,29.11,54.72,,12.16,10.42,,20.5
2021-01-09 05:00:00,2.58,8.27,2.95,30.1,56.16,,12.7,11.06,,19.22
2021-01-09 06:00:00,3.36,,3.25,28.47,61.09,,14.76,13.53,,20.79
2021-01-09 07:00:00,6.07,9.26,3.88,33.39,73.45,,19.45,17.47,,24.41
2021-01-09 08:00:00,7.76,10.35,4.81,44.01,89.5,,26.16,21.23,,25.03
2021-01-09 09:00:00,8.65,11.48,5.74,54.44,103.95,,31.76,26.0,,29.08
2021-01-09 10:00:00,9.27,11.5,5.91,50.78,106.22,,30.5,25.69,,29.45
2021-01-09 11:00:00,8.51,11.64,6.03,48.18,102.9,,30.15,24.11,,27.79
2021-01-09 12:00:00,7.89,10.4,5.7,46.29,99.89,,28.39,24.72,,26.54
2021-01-09 13:00:00,7.41,10.57,5.33,44.98,98.09,,29.43,23.88,,26.27
2021-01-09 14:00:00,6.4,10.41,5.09,40.56,91.73,,26.17,23.06,,25.46
2021-01-09 15:00:00,6.56,9.8,4.73,40.03,85.93,,25.24,21.17,,23.86
2021-01-09 16:00:00,5.74,9.99,4.53,41.78,84.56,,22.85,19.67,,24.95
2021-01-09 17:00:00,5.55,9.84,4.39,38.84,84.23,,23.38,20.53,,23.73
2021-01-09 18:00:00,5.7,9.98,4.93,43.58,86.16,,24.16,20.99,,23.12
2021-01-09 19:00:00,6.52,9.62,4.59,42.99,85.73,,25.1,20.22,,24.32
2021-01-09 20:00:00,6.7,10.0,4.68,39.25,87.11,,25.75,20.14,,23.91
2021-01-09 21:00:00,6.48,9.45,4.32,36.55,81.37,,23.02,18.67,,22.49
2021-01-09 22:00:00,5.29,9.02,3.86,32.81,74.49,,20.21,16.28,,21.49
2021-01-09 23:00:00,4.78,8.71,3.63,34.0,69.23,,18.09,15.13,,21.9
2021-01-10 00:00:00,4.53,8.18,3.44,32.69,62.83,,16.43,13.51,,20.34
2021-01-10 01:00:00,3.88,7.91,3.05,31.28,58.08,,13.04,11.82,,19.39
2021-01-10 02:00:00,4.12,7.72,2.86,29.04,55.42,,12.39,10.76,,18.67
2021-01-10 03:00:00,4.18,7.72,2.71,28.81,55.39,,12.19,10.46,,18.35
2021-01-10 04:00:00,3.74,7.7,2.75,23.4,54.5,,12.33,10.23,,19.16
2021-01-10 05:00:00,4.0,7.71,2.93,21.89,55.08,,12.31,11.05,,20.41
2021-01-10 06:00:00,4.35,7.97,3.13,27.58,57.92,,13.44,11.64,,19.41
2021-01-10 07:00:00,5.77,8.59,3.39,34.2,66.85,,16.0,15.04,,21.23
2021-01-10 08:00:00,6.26,9.95,4.56,41.73,83.79,,22.89,18.74,,23.0
2021-01-10 09:00:00,6.7,11.21,5.48,54.09,100.05,,30.03,24.43,,26.42
2021-01-10 10:00:00,7.42,10.94,5.99,52.73,107.81,,32.34,26.6,,26.83
2021-01-10 11:00:00,6.96,11.12,6.13,48.75,104.4,,32.4,26.08,,26.0
2021-01-10 12:00:00,7.23,11.79,5.61,45.33,104.73,,29.74,24.36,,25.82
2021-01-10 13:00:00,7.31,11.18,5.44,42.1,98.07,,29.51,23.6,,24.38
2021-01-10 14:00:00,7.17,10.32,5.07,44.3,91.2,,26.78,21.31,,24.32
2021-01-10 15:00:00,6.77,10.01,4.59,39.98,85.88,,22.73,20.73,,23.9
2021-01-10 16:00:00,6.9,9.82,4.76,40.9,85.13,,23.72,19.23,,23.43
2021-01-10 17:00:00,6.35,10.25,4.79,43.04,87.14,,24.38,20.14,,22.58
2021-01-10 18:00:00,6.56,10.18,5.07,39.53,90.94,,26.52,21.29,,23.21
2021-01-10 19:00:00,7.35,10.42,5.14,40.04,93.91,,26.76,21.5,,23.88
2021-01-10 20:00:00,7.64,10.64,5.05,43.2,95.63,,27.32,21.26,,24.16
2021-01-10 21:00:00,6.52,9.72,4.46,38.04,81.77,,24.03,20.33,,22.37
2021-01-10 22:00:00,5.09,9.13,3.79,34.98,75.53,,19.54,16.72,,21.72
2021-01-10 23:00:00,4.44,8.81,3.49,34.82,70.22,,19.05,16.27,,22.54
2021-01-11 00:00:00,3.29,8.13,3.37,31.34,61.17,,14.07,13.06,,20.14
2021-01-11 01:00:00,2.31,7.81,2.97,28.42,56.41,,12.44,11.42,,18.84
2021-01-11 02:00:00,3.0,7.76,2.67,21.45,54.66,,11.7,10.72,,18.68
2021-01-11 03:00:00,3.53,7.88,2.66,22.66,54.35,,11.9,10.49,,19.23
2021-01-11 04:00:00,3.21,8.02,2.78,25.15,55.06,,11.56,10.52,,19.31
2021-01-11 05:00:00,4.27,8.34,3.08,31.0,57.63,,13.13,12.18,,23.18
2021-01-11 06:00:00,5.19,9.3,4.1,36.48,72.1,,18.73,16.16,,25.35
2021-01-11 07:00:00,9.01,10.46,5.26,46.09,96.94,,25.31,24.2,,30.02
2021-01-11 08:00:00,10.07,10.5,5.21,43.45,97.46,,28.52,27.41,,31.03
2021-01-11 09:00:00,9.55,10.15,5.19,39.97,93.39,,27.87,27.88,,29.9
2021-01-11 10:00:00,9.3,9.94,4.83,42.01,90.16,,25.96,27.34,,29.75
2021-01-11 11:00:00,8.92,9.3,4.62,36.94,86.3,,24.68,25.02,,30.53
2021-01-11 12:00:00,9.21,9.57,4.99,41.59,89.89,,24.7,25.47,,30.54
2021-01-11 13:00:00,9.01,9.82,4.48,43.35,90.65,,24.17,,,30.95
2021-01-11 14:00:00,8.59,9.47,4.52,42.85,87.47,,21.89,24.38,,33.24
2021-01-11 15:00:00,10.64,9.2,3.35,39.83,82.47,,19.98,21.0,,29.4
2021-01-11 16:00:00,7.12,9.23,4.33,36.93,81.86,,20.61,20.86,,27.58
2021-01-11 17:00:00,6.68,9.37,4.45,36.94,81.19,,20.81,21.75,,31.27
2021-01-11 18:00:00,6.17,9.65,4.88,38.32,86.85,,21.82,21.4,,26.56
2021-01-11 19:00:00,6.51,10.19,4.95,44.66,92.33,,26.5,22.95,,27.62
2021-01-11 20:00:00,6.93,10.26,5.13,45.91,95.37,,27.42,22.48,,25.98
2021-01-11 21:00:00,6.54,9.73,4.69,40.3,86.76,,22.91,19.45,,24.26
2021-01-11 22:00:00,5.63,9.04,4.03,37.79,75.03,,20.55,17.82,,22.36
2021-01-11 23:00:00,4.21,8.46,3.67,30.37,68.91,,17.63,15.57,,23.41
2021-01-12 00:00:00,4.21,7.99,3.46,25.94,61.67,,15.52,12.97,,21.89
2021-01-12 01:00:00,3.78,7.93,3.01,25.38,56.57,,12.8,11.51,,20.17
2021-01-12 02:00:00,10.75,7.78,2.88,28.62,54.64,,12.11,10.66,,21.14
2021-01-12 03:00:00,4.42,7.81,2.76,28.48,54.39,,12.39,10.86,,20.77
2021-01-12 04:00:00,3.81,7.84,2.83,29.6,54.75,,12.51,11.38,,20.78
2021-01-12 05:00:00,4.22,8.2,3.16,32.51,57.81,,13.11,12.04,,20.91
2021-01-12 06:00:00,6.04,8.97,4.25,37.39,71.33,,18.23,16.21,,25.05
2021-01-12 07:00:00,8.4,10.52,5.07,42.6,98.17,,29.12,23.9,,28.84
2021-01-12 08:00:00,8.99,10.64,5.37,43.53,101.17,,28.13,27.0,,30.62
2021-01-12 09:00:00,9.13,10.27,5.2,45.29,100.08,,26.39,26.8,,31.06
2021-01-12 10:00:00,8.78,10.04,3.28,41.69,93.19,,25.77,26.1,,31.17
2021-01-12 11:00:00,7.62,9.67,4.39,46.26,89.83,,24.7,25.34,,30.54
2021-01-12 12:00:00,7.81,9.29,4.91,42.32,88.65,,23.26,25.84,,30.76
2021-01-12 13:00:00,8.67,9.54,4.37,40.42,89.3,,25.1,26.52,,30.58
2021-01-12 14:00:00,8.72,9.45,4.42,38.05,86.67,,22.29,26.34,,31.85
2021-01-12 15:00:00,,9.45,4.22,37.1,81.69,,20.76,,,28.54
2021-01-12 16:00:00,,9.17,4.01,34.91,79.89,,20.38,,,30.11
2021-01-12 17:00:00,,9.28,4.19,34.7,,,,,,
2021-01-12 18:00:00,,9.89,4.81,,,,,,,
2021-01-12 19:00:00,,10.65,4.91,,,,,,,
2021-01-12 20:00:00,,11.05,4.92,,,,,,,
2021-01-12 21:00:00,,11.01,4.86,,,,,,,
2021-01-12 22:00:00,,,3.87,,,,,,,
2021-01-12 23:00:00,,,3.45,,,,,,,
2021-01-13 00:00:00,,,3.28,,,,,,,
2021-01-13 01:00:00,,,3.05,,,,,,,
2021-01-13 02:00:00,,,2.78,,,,,,,
2021-01-13 03:00:00,,,2.75,,,,,,,
2021-01-13 04:00:00,4.18,9.75,2.78,,,,,20.08,,
2021-01-13 05:00:00,5.27,8.07,3.04,,,,,12.06,,
2021-01-13 06:00:00,6.01,8.98,4.15,,78.41,,,16.3,,
2021-01-13 07:00:00,9.81,10.52,5.25,,99.63,,,24.4,,
2021-01-13 08:00:00,9.77,10.76,5.18,43.97,103.2,,24.89,28.09,,29.43
2021-01-13 09:00:00,9.32,10.44,5.09,40.35,98.36,,26.16,26.9,,29.76
2021-01-13 10:00:00,8.99,10.47,4.62,44.87,92.96,,26.41,26.24,,32.63
2021-01-13 11:00:00,8.6,9.95,4.25,43.39,87.42,,23.58,25.85,,31.29
2021-01-13 12:00:00,8.32,9.79,4.49,41.64,87.35,,22.82,24.39,,29.81
2021-01-13 13:00:00,8.02,9.72,4.64,41.64,87.84,,24.78,24.34,,30.29
2021-01-13 14:00:00,8.14,9.92,4.29,37.34,84.85,,22.7,22.74,,31.8
2021-01-13 15:00:00,8.18,9.5,4.31,37.22,81.27,,20.42,21.54,,28.56
2021-01-13 16:00:00,7.02,10.01,3.97,37.98,79.97,,21.32,21.47,,28.15
2021-01-13 17:00:00,7.37,9.72,4.37,38.91,82.8,,21.77,20.77,,27.15
2021-01-13 18:00:00,7.52,9.61,4.65,42.53,86.55,,23.65,22.7,,27.32
2021-01-13 19:00:00,7.42,10.4,5.13,46.46,91.66,,28.07,24.22,,26.64
2021-01-13 20:00:00,7.75,10.11,4.91,43.59,94.65,,27.06,21.35,,26.26
