Date,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j,diurnal_dma_a,diurnal_dma_b,diurnal_dma_c,diurnal_dma_d,diurnal_dma_e,diurnal_dma_f,diurnal_dma_g,diurnal_dma_h,diurnal_dma_i,diurnal_dma_j,AIR_TEMP,AIR_HUMIDITY
2021-03-26 01:00:00,4.89,8.44,3.45,25.29,53.78,5.92,13.72,11.89,20.9,20.85,5.8821965504645135,7.606966110692173,2.929264705882353,24.489979834486725,55.44698662389418,6.425177333123597,17.328311210172608,12.43933751956514,17.40537235502062,21.264061329268113,8.3,74.0
2021-03-26 02:00:00,5.04,8.47,3.08,22.76,52.72,6.03,13.4,11.41,20.01,20.04,5.862088998832339,7.597167785210155,2.8194117647058823,23.416253011028598,53.05670447688677,6.199518229504891,15.967090198878903,11.581429491844274,17.236301214946643,21.139412798554474,7.9,74.0
2021-03-26 03:00:00,6.19,8.65,3.0,18.79,51.59,5.04,13.6,11.13,18.72,18.82,6.57376452162939,7.616589866538427,2.7519773528981246,23.020459374597955,52.92099688653892,6.158691489760608,15.800768912531389,11.271226044844363,17.417915327512986,21.496440080885325,8.4,67.0
2021-03-26 04:00:00,6.43,8.58,3.6,20.97,52.41,5.47,13.46,11.31,19.07,19.11,6.125285605538658,7.708137734041924,2.7511054465603637,23.451113836810745,53.61392977497162,6.108379400625007,16.38844956529088,11.458980554757266,17.237253047096328,21.359994081994422,8.3,69.0
2021-03-26 05:00:00,6.33,8.86,3.56,27.49,55.84,5.85,14.59,12.49,20.65,21.68,6.5848793087858155,8.025275285490167,3.3567647058823527,26.244570441790426,57.36527154815832,6.413778559945983,18.263933879440184,12.754970866538715,17.53320993244502,21.981564643668886,8.1,67.0
2021-03-26 06:00:00,7.59,9.64,4.94,35.21,72.06,7.2,19.93,16.5,20.24,23.98,8.08094129150159,9.50133780860783,4.765476029938305,33.2951404381908,73.66557503539521,7.9539933727049075,23.81819908215876,17.184964284269867,18.895,25.944946980814677,7.8,74.0
2021-03-26 07:00:00,9.43,11.5,5.74,44.25,98.77,12.65,29.93,24.13,22.07,27.05,10.226740211560587,10.881719475110895,5.963744805852689,41.47291679203592,98.65322817623507,10.157537125703593,32.24700099726631,25.319145795455853,21.01985294117647,30.089810171676945,9.5,66.0
2021-03-26 08:00:00,12.08,11.98,5.91,47.35,104.08,10.52,32.74,29.04,24.07,30.15,10.820294117647059,10.924264705882353,5.768956462363513,41.6716381708098,100.15632352941176,9.454302863283418,32.87826955336255,28.654179359929643,23.069289141987714,32.450294117647054,9.6,73.0
2021-03-26 09:00:00,9.78,11.5,5.42,40.76,96.86,9.14,29.43,27.25,24.92,30.56,10.80556864211995,10.463970588235293,5.3155882352941175,39.55470588235294,94.78009051511968,9.219261353735206,30.63717544256296,28.549947502500373,23.151562869883694,32.84220588235294,9.8,69.0
2021-03-26 10:00:00,11.87,10.63,5.22,42.2,91.37,9.01,28.09,26.0,26.61,32.38,10.676897896848706,10.016029411764706,4.8424832988318505,37.16063782587001,89.27239729690818,8.628579953262816,28.101776130798548,27.457776984361175,23.28609715018239,32.476260574065186,9.7,76.0
2021-03-26 11:00:00,6.19,10.83,5.08,33.67,87.21,9.68,27.76,24.0,26.67,30.73,10.306745235329782,9.735294117647058,4.731954194308883,35.306675943977346,85.67634600313589,8.53406104682475,26.521786493351925,26.111369760384605,23.523270999077166,32.09951026052851,10.3,73.0
2021-03-26 12:00:00,8.24,11.05,4.8,35.19,86.84,8.8,25.59,24.44,25.23,31.53,10.167883367136191,9.718970588235294,4.621783527949866,35.4315990754319,85.25382352941176,8.35316862424768,25.993154966128664,26.079507394470564,23.11279411764706,31.58617647058824,11.4,76.0
2021-03-26 13:00:00,10.23,11.52,4.81,37.92,88.49,7.87,26.33,25.75,24.05,28.81,10.363618511485598,9.801733957867045,4.525993162832692,37.028057265353006,85.87764705882353,8.552923428729661,26.42624420730635,25.933718624952512,23.153395478247305,31.492823558318452,11.6,62.0
2021-03-26 14:00:00,10.02,10.84,4.69,35.5,83.43,10.6,24.84,23.62,25.98,28.58,10.378790203411867,9.694948865382116,4.373676470588236,35.24763217383036,83.07969531269023,8.686803616716695,25.694790242483926,24.54398987861221,22.787556568614256,30.977906095690347,12.3,63.0
2021-03-26 15:00:00,8.17,10.31,4.58,34.47,80.28,7.05,23.68,21.26,26.68,28.58,9.919098498973431,9.65110758114024,4.413823529411765,34.438133863274196,80.3677066692057,8.206872018618688,24.688414921077,23.197388891992272,21.792247174879485,29.351346958065193,12.3,69.0
2021-03-26 16:00:00,8.31,10.57,4.75,37.06,79.28,6.99,23.15,20.83,25.57,30.25,9.080929521965714,9.69862790578562,4.422205882352941,34.60002729046997,79.83232444763632,8.28168523749019,24.687629176014,22.866222135824685,21.81760456683171,29.58758263644048,12.1,72.0
2021-03-26 17:00:00,9.0,10.58,4.72,39.19,81.62,8.83,23.94,20.31,23.82,27.74,8.777687584097443,9.977975882539788,4.76514705882353,35.111505354051715,80.84817319101798,8.346060210672395,25.457449790692323,22.91881090330528,20.739035568157746,28.472537360873424,12.0,76.0
2021-03-26 18:00:00,9.29,10.59,5.14,39.45,85.41,8.76,24.67,20.67,23.72,27.23,8.95817159733724,10.508268465638638,5.27014705882353,37.18134122609804,84.53920993347505,8.630198564915938,26.783342105803797,22.8514845349976,19.955683688014382,27.92948574504817,12.0,81.0
2021-03-26 19:00:00,9.41,10.9,5.35,38.05,89.92,8.6,26.95,21.94,23.09,27.84,9.502032713328372,11.14868979284374,5.526900114739278,39.754434653906685,87.5435293272995,9.099081349609538,28.322001006882935,23.20976319306207,19.769405238105122,27.972598751183376,11.5,86.0
2021-03-26 20:00:00,8.97,10.52,5.22,39.89,88.9,8.24,27.81,21.21,23.05,28.23,9.589430399947515,10.81206930446096,5.402653414645787,39.31218524254524,87.24347972201932,8.982966211110691,28.396344137364274,22.33546615415518,19.15923144689311,27.157191291193094,11.9,81.0
2021-03-26 21:00:00,7.94,9.98,4.96,32.25,79.08,7.88,24.68,18.71,21.43,24.02,8.536681601229766,9.828585776773997,4.831323529411765,34.42281326846943,80.33662566512636,8.342818731108373,26.109346630450467,20.09734825752673,18.38211897400976,25.361176868321778,11.6,78.0
2021-03-26 22:00:00,6.57,9.06,4.24,31.54,71.54,6.52,20.46,16.56,20.75,22.14,7.392259898377255,8.992047044236411,4.1157352941176475,30.228047020713014,72.95972220723996,7.482222226594144,23.33557278043597,17.976395196058448,18.14968330192035,24.2401601448237,11.2,82.0
2021-03-26 23:00:00,5.86,9.0,3.53,30.7,66.3,4.5,18.78,14.96,22.36,22.97,6.899874693902607,8.576618637931666,3.939117647058824,28.320815438898215,68.73024414936992,7.034459238327504,21.991119979922644,16.724400632315778,18.176427031998358,23.26764224571048,10.6,80.0
2021-03-27 00:00:00,5.46,8.58,3.53,29.31,58.46,5.83,15.93,13.32,21.37,21.79,6.332660163243681,8.107139261205104,3.2772058823529413,25.68716305760517,61.43760991471183,6.693459117996619,19.637780989210498,14.540175600929937,17.274915320907905,21.647759513794,10.0,82.0
2021-03-27 01:00:00,5.34,8.46,3.34,27.36,53.88,5.35,14.39,12.0,20.11,19.85,6.142556208449363,7.682461999528874,3.0032352941176472,24.16344955160335,56.62221794459899,6.46711624614085,17.6498944869955,12.926753519247482,17.076168239343964,21.037980183847665,10.4,74.0
2021-03-27 02:00:00,5.7,8.26,2.97,22.37,52.1,5.89,13.05,10.64,22.31,21.05,6.241190469018935,7.659419471254222,2.884264705882353,23.68535141569895,53.87545085184382,6.25318316111174,16.193331494686223,11.704385450589637,16.733160635873087,20.677471631773056,10.4,70.0
2021-03-27 03:00:00,5.32,8.4,2.82,21.27,51.75,5.05,13.08,10.4,19.64,19.61,6.332658789565992,7.673110135003193,2.698823529411765,23.134109997243197,53.22461067896576,6.206917804918833,15.929240035368386,11.360480449233105,17.269434249340986,21.21179699092905,9.9,76.0
2021-03-27 04:00:00,5.02,8.31,2.84,21.44,52.02,5.72,13.16,10.58,19.29,19.62,6.121192430866921,7.655381710991749,2.741470588235294,23.80135485952589,53.56165289594791,6.294788736128438,16.280239241488754,11.567061130579773,16.86111860540002,20.860465884749157,10.5,65.0
2021-03-27 05:00:00,4.68,8.56,3.02,24.85,54.19,5.04,13.53,11.83,20.47,21.26,6.431063238599767,7.923867735255793,3.2166176470588232,25.503469877767586,56.11116259598185,6.260910605944943,17.849495565938497,12.470027054501369,16.897519820355978,21.060848306572353,10.6,67.0
2021-03-27 06:00:00,5.85,8.98,3.57,30.51,62.74,6.2,16.68,14.18,20.04,21.8,7.420902696868158,8.73658474447965,4.114705882352942,28.78523595247625,64.21756478444551,7.177772748497763,20.719118275200767,14.870981892197417,17.39088644319087,23.102721519557175,11.1,71.0
2021-03-27 07:00:00,7.97,10.11,4.77,35.82,77.05,8.36,22.63,18.86,20.59,24.06,8.730124154034328,10.073643301288072,5.15422879608801,35.620931500122936,79.83295087854397,9.00004881653085,25.69590017882919,19.87535966715419,18.592129490227165,25.9402196877501,11.3,69.0
2021-03-27 08:00:00,9.3,10.88,5.19,43.55,92.55,8.56,28.01,23.64,21.82,25.65,9.802066574840746,11.187832963774028,6.07178899804225,41.9874007890077,94.99287597645527,9.876814977880063,31.440747624121922,25.297681216322157,19.301526252831255,27.96054287766336,12.7,75.0
2021-03-27 09:00:00,10.55,11.98,5.8,47.92,103.6,9.03,33.13,27.19,21.64,26.83,10.049989758736931,11.561138284162578,6.192531569835124,43.6833927335617,101.09190671692312,10.055057812254873,33.930912259775425,28.08157444051407,19.340835555423656,28.286723609531464,13.0,76.0
2021-03-27 10:00:00,9.83,11.92,5.7,44.72,102.19,9.43,31.31,28.17,23.61,27.5,9.91936696098326,11.046729299894807,5.880867848729924,42.07695667962718,97.96785090951481,9.692575733932086,32.471751018794116,27.341529522430363,19.203647202694043,27.977902684130243,13.5,74.0
2021-03-27 11:00:00,9.39,11.78,5.74,42.22,96.36,9.2,30.51,25.86,24.41,28.51,9.553758100119662,10.72832328095282,5.711963509411025,40.19608341720667,92.13542060178008,9.470526907603425,30.090684330542455,25.317064933278033,19.518501541414366,27.807962014308345,14.1,72.0
2021-03-27 12:00:00,8.96,11.1,5.28,39.33,97.02,8.15,29.72,23.69,23.02,27.22,9.142131094611054,10.601806874662861,5.443260741603751,39.00674162593233,89.78121686279448,9.18477358408327,28.795163181615845,24.534391827661853,19.23319666362298,27.15890991947224,13.1,75.0
2021-03-27 13:00:00,9.11,10.68,5.17,40.03,94.69,8.31,28.64,22.91,21.62,25.89,9.124812236122581,10.399260455440395,5.158200574821458,38.90504687897165,88.64637628867871,9.177340809661558,28.407361509737434,23.973740860165602,19.016338775569093,26.384856675120417,11.7,87.0
2021-03-27 14:00:00,7.79,10.71,5.56,36.61,87.89,8.7,26.7,21.65,22.54,25.12,9.07809982013407,10.187454306216955,4.95264705882353,37.10585097605611,83.89120979549067,8.728615685184252,27.0539058775611,22.560516827058677,18.392773362275612,25.284843776314116,12.1,82.0
2021-03-27 15:00:00,7.17,10.4,4.85,38.62,84.24,8.02,24.42,20.29,20.59,23.87,8.692292149863764,10.015142267079899,4.808529411764706,35.76499991606065,80.34395894329852,8.37673588677724,25.816806651899817,21.474193663109496,17.855966729361885,24.80754810215275,12.6,81.0
2021-03-27 16:00:00,7.18,10.83,5.01,40.21,82.55,8.36,25.09,20.64,20.87,24.22,8.197000405696638,10.149611198300727,4.890735294117647,35.25373856105038,79.75324616053774,8.33524139986852,25.635896682791063,21.119647190787536,17.7736412721107,24.643355919861122,12.5,81.0
2021-03-27 17:00:00,6.53,10.73,4.95,37.84,83.08,7.66,25.41,19.98,22.22,25.08,8.18085530136166,10.52024002333555,5.145441176470588,35.71210789660129,80.91420566502816,8.521980742874906,26.414882255091555,21.537237653822476,17.524782653177837,24.864097862783957,12.2,83.0
2021-03-27 18:00:00,6.23,11.03,5.0,39.48,87.28,8.27,25.81,20.1,20.25,24.16,8.325500506384046,11.04372990414334,5.486937232534236,37.42449072283661,82.9275480025467,8.834402305131803,27.51617306160553,21.760362560440743,17.491103810848244,25.18890309161684,12.1,85.0
2021-03-27 19:00:00,6.65,10.86,5.14,37.49,88.21,7.55,26.04,20.34,20.55,23.98,8.923197905631113,11.36125325821125,5.783823529411765,38.538436724559816,84.98053840664355,8.692514578139978,28.362968201664746,21.705512940387685,17.526384453901798,25.461185236888713,13.0,76.0
2021-03-27 20:00:00,7.09,10.58,5.05,37.16,86.99,8.09,25.77,21.82,20.73,24.43,9.130206518745908,10.91694412062862,5.561911764705882,37.726843110918885,84.12597696804741,8.646242041924346,27.832913257477237,21.348240865845327,17.150975625155628,24.71366780989366,12.7,78.0
2021-03-27 21:00:00,6.68,9.97,4.62,33.69,78.18,7.2,23.61,18.65,19.87,22.95,8.152512585498387,9.83373752129885,4.841176470588235,33.535498725782524,77.78166159151165,8.15311564979838,25.432517363647687,19.48371996462238,16.796376522631846,23.56174999906486,13.3,75.0
2021-03-27 22:00:00,6.59,9.4,3.97,32.48,69.64,5.01,20.4,15.57,19.41,20.91,7.394922860535303,9.002500830080306,4.12764705882353,30.273260097197408,71.65992281304489,7.409000413249551,23.125201937133955,17.5416371885532,16.762320786369486,22.682843839833037,13.2,76.0
2021-03-27 23:00:00,5.7,9.07,3.58,30.16,66.97,5.59,19.46,16.12,20.84,21.96,6.90474890558291,8.604417137266188,3.9660294117647057,28.583356629454997,68.46498019167973,7.381619849019053,22.198371117433833,16.66845877802034,16.999900470745793,22.56697443072846,13.0,78.0
2021-03-28 00:00:00,5.01,8.69,3.56,27.87,60.37,5.29,16.84,13.52,19.26,20.53,6.43268719899799,8.167932739504352,3.3847058823529412,26.362612362713865,62.4182933670867,7.081898991538802,19.97400185735873,14.881630029933191,16.212493566122674,21.23868537028672,13.4,77.0
2021-03-28 01:00:00,4.79,8.53,3.55,27.43,55.32,5.8,14.65,11.09,18.31,18.63,5.931932837115319,7.723682639225592,3.0661764705882355,24.68206665227569,57.2453579087129,6.891433867641697,18.091585861272957,13.223373710899434,15.986778636719592,20.516604074937426,13.4,77.0
2021-03-28 03:00:00,4.59,8.29,3.43,23.48264456839727,51.63,7.73,11.22,10.79,18.56,18.85,5.712996489327021,7.56612555265875,2.854264705882353,23.847146152945776,53.511680264157334,6.451287915726757,16.060268578847836,11.633565192600424,16.417481755353933,20.906805132421056,13.7,71.0
2021-03-28 04:00:00,4.83,8.43,3.09,31.5,52.12,7.490181216580667,12.987333278394287,9.82,18.06,18.79,5.694299050761473,7.572978467415313,2.864264705882353,24.15980580295141,53.48158100833934,6.469344108383276,16.310275184545986,11.618981292047488,15.948937596478386,20.28266043915205,12.6,79.0
2021-03-28 05:00:00,5.15,8.37,2.82,23.46,52.83,7.477142069681347,14.494830005171172,10.71,18.63,18.83,6.058756229244389,7.819135785930861,3.286922623859955,25.23440944915217,55.42587400703047,6.499981237203298,17.814475945255577,12.213119038111854,15.989265686184115,20.38244112341009,12.5,80.0
2021-03-28 06:00:00,6.58,8.43,3.0,28.83,54.81,7.366218547727698,14.9708058262495,11.68,19.2,19.62,7.051520482030743,8.569026656876117,3.9688235294117646,27.50985265989406,60.99994624234793,6.89877100645837,20.0663077451384,13.716021289007259,16.19940887280046,21.69457562889385,12.2,82.0
2021-03-28 07:00:00,9.19,9.03,3.78,32.88,63.87,7.69089146645812,18.573915650716263,14.666201703150179,20.55,21.55,8.08677111117775,9.554677866679503,4.751649697952618,33.09273937336361,72.97816545842004,7.773850027626774,23.481235417847692,17.08674588049446,17.15804120852448,23.773182222643115,12.3,81.0
2021-03-28 08:00:00,9.24,10.61,4.98,39.63,78.56,8.73281685310855,26.340917814303783,21.006877838569416,21.31,24.49,9.333365774220185,10.942653855430274,5.830882352941177,40.11461942135736,88.44215434111366,9.167622325678328,28.871535147836305,22.230831632235407,17.706098115263018,25.932670857435916,12.8,78.0
2021-03-28 09:00:00,8.9,12.07,5.76,42.19,96.19,5.72,29.51,23.65,21.63,26.46,9.78127744982502,11.806137147913692,6.396206909299454,44.71323371550814,100.24297783886018,10.042364169277676,33.33515812416224,26.059625906421306,18.232645899506423,27.35783408020377,11.8,82.0
2021-03-28 10:00:00,6.62,12.7,6.44,46.88,103.73,9.4,31.46,25.63,21.28,26.08,9.77037264214629,11.793122414966417,6.452807710054179,44.010358287705984,100.20679375586346,9.865561989443249,33.32607548697114,26.017191793982565,18.127706842673824,27.199389835560442,12.7,77.0
2021-03-28 11:00:00,8.38,12.37,6.19,43.92,101.26,9.13,34.07,25.0,21.83,27.33,9.327502726015842,11.43916612298391,6.174003713533664,42.343333283497216,94.68075833301457,9.796786458421666,31.56122407472807,24.163228503227057,18.0191464879957,26.622878003297334,13.1,78.0
2021-03-28 12:00:00,7.5,12.34,6.11,43.53,94.80624817193606,9.46,32.1,25.1,23.8,26.43,8.886892701656608,11.048574728300247,5.76192881775341,40.63402626638285,90.79743066127067,9.472757091890891,29.84714930930639,23.344033330555025,18.059989184125484,26.12993672364266,13.9,73.0
2021-03-28 13:00:00,7.85,11.8,5.84,43.89,89.61286585469075,8.17,28.28,23.91,21.82,26.09,8.709063661905068,10.513344288848463,5.3448529411764705,38.12820590218598,87.14511549451701,8.934526543561955,28.284613449875014,22.312952385683975,17.70239309908154,25.10885176158338,12.8,83.0
2021-03-28 14:00:00,7.5,11.53,5.44,40.9,86.62416853278094,8.61,27.76,22.0,20.43,23.99,8.570438847534223,10.184527102774815,4.965475301807689,35.6679449403273,81.4625566053003,8.610363455841807,26.45832978251332,21.05870601344516,17.536774674421373,24.507469734018613,15.3,68.0
2021-03-28 15:00:00,7.19,11.13,5.02,38.54,85.69,6.98,25.11,20.08,20.77,24.16,8.08512547813384,9.993650952310496,4.753396420200804,34.19420014062319,77.91967888663142,8.258144017745545,25.167545139995212,20.078233559075603,17.082300763379575,23.757889864501763,15.6,65.0
2021-03-28 16:00:00,6.6,11.22,5.85,38.56,83.47,8.08,24.85,20.21,20.29,24.09,7.710695008924317,10.093592239544707,4.831031270475184,34.479421844322985,78.12442917746671,8.235618045108096,25.340935030962775,20.314641319536186,17.06154598120375,23.775455688886357,16.0,62.0
2021-03-28 17:00:00,7.24,11.16,5.41,36.06,82.91,8.58,26.29,19.7,20.76,24.94,7.911166729161191,10.551278158332034,5.160487180827686,35.32544991749974,80.54022034252394,8.433666648966462,26.356627582434612,20.75198697282774,16.99239269611826,24.202976989780634,15.4,63.0
2021-03-28 18:00:00,8.0,11.42,5.34,38.74,85.53,7.11,28.38,21.11,20.31,23.76,8.164909015197768,10.953380118462702,5.653382352941176,37.46022539489318,84.62937279225588,8.658483376938996,28.16518888163774,21.411536149394085,16.91137744591737,24.696051185157973,15.5,61.0
2021-03-28 19:00:00,8.2,11.45,5.55,36.17,90.52,9.11,27.68,22.01,20.08,23.77,8.807481841375054,11.511007112307041,6.015588235294118,39.35127669980016,88.18571750944183,9.12096410740984,29.64485930085615,21.91882786176541,17.18907725595423,25.15111771543507,15.4,62.0
2021-03-28 20:00:00,8.63,11.73,5.5,38.43,92.47,7.72,29.18,23.41,20.72,25.15,9.165753217514034,11.202807761348348,5.836908961276756,39.430562150812435,89.2299002769857,8.919966433149431,30.09206263658106,22.29086734342535,17.03642973899389,24.869059855750844,14.0,68.0
2021-03-28 21:00:00,7.51,10.7,5.14,37.07,83.74,9.1,25.83,21.03,19.95,23.47,8.270173980533883,10.051510142445048,5.065583787982677,35.20533579141621,82.35494815551358,8.407351176990192,27.058298531119572,20.41717265302944,16.592801143618768,23.619443148416217,13.1,74.0
2021-03-28 22:00:00,6.66,9.8,4.55,33.46,74.23,8.05,21.99,18.02,20.33,23.05,7.470671768848063,9.095443775031134,4.262797551190963,31.01353391436992,74.59367344053233,7.558753678557946,24.232310767223463,18.465080128614673,16.735060417323105,22.901150084774514,12.6,74.0
2021-03-28 23:00:00,6.45,9.01,4.15,28.94,67.84,5.87,19.25,16.09,20.08,21.66,8.367256496910452,8.581490686873734,3.9595230961323864,28.844199047122554,69.24988812930955,7.2194784962724095,22.30047951012944,17.015287497191693,17.21445958771735,22.667418605297765,11.8,87.0
2021-03-29 00:00:00,5.55,8.84,3.34,26.32,59.5,5.34,17.15,13.74,20.98,22.09,10.37790645822298,8.011348226214558,3.3308695457968733,25.997180081983597,60.7886249268934,6.75864254725151,19.495970962856518,14.455905512024636,16.9741213758735,21.69303165726596,11.9,83.0
2021-03-29 01:00:00,4.69,8.47,3.29,25.0,54.19,5.84,14.64,11.89,20.38,20.45,5.9240512948407735,7.639204925455503,2.9830010433540473,24.600060133381316,55.883146672579244,6.531754515813842,17.440707505044287,12.750588750086223,16.70303920835411,21.187564996558688,11.4,84.0
2021-03-29 02:00:00,3.64,8.32,3.26,20.79,51.99,5.8,13.03,11.02,22.01,22.26,5.775032107226182,7.620063445079269,2.9180597014925374,24.530736435447135,53.67567564453609,6.358566776432591,16.20577708201182,11.891775889742751,16.60462358434875,20.988304459968415,11.6,82.0
2021-03-29 03:00:00,3.9,8.52,2.99,20.24,51.2,5.05,12.64,10.98,21.36,21.39,6.318230288324751,7.60371569569335,2.8169399405646156,23.72386465858778,53.35610608707916,6.311019552526183,16.000431606634603,11.592679970046628,16.896773274814667,21.415538125106462,11.3,82.0
2021-03-29 04:00:00,4.11,8.3,2.87,23.08,51.83,4.99,13.07,10.65,17.90247805058641,22.04,6.077377509217721,7.693318637788742,2.852537313432836,23.615556944408517,53.723027045669795,6.217112424274251,16.674118311969437,11.598083047413418,16.33368577636734,20.83172803199499,11.3,87.0
2021-03-29 05:00:00,4.72,8.76,3.64,26.83,53.92,5.26,15.19,11.84,21.1,22.63,6.5398848334377435,8.07909402272934,3.402089552238806,26.14221060839151,57.24193223783576,6.5639381434999615,18.339605908815887,12.770747417120306,16.840370530863034,21.548573805125727,11.0,87.0
2021-03-29 06:00:00,5.82,9.32,3.75,29.666942566410064,66.31,7.283657386433343,18.4,14.86,19.426895295527828,26.31,8.220757646379486,9.391642832016817,4.751194029850746,32.971574308405174,72.79595805345059,7.830937501122448,23.733542171408562,17.075508224322533,18.188269248828462,25.394795743394212,10.8,84.0
2021-03-29 07:00:00,8.21,10.71,5.042102689709464,35.938548363698814,89.34,7.39257837759906,26.92,22.88,23.83,28.21,10.245794626461661,10.781597434209178,5.857941831189693,40.909417068068265,96.88736718418666,9.801166930768753,31.803165436192387,25.044243499884526,20.885332490847137,30.23566495340564,10.8,89.0
